read_0	3095733	3096728
read_1	13075154	13076150
read_2	11702892	11703889
read_3	15298633	15299633
read_4	17793879	17794888
read_5	7353321	7354321
read_6	18169606	18170604
read_7	15095372	15096373
read_8	7653073	7654072
read_9	18854584	18855570
read_10	2053773	2054775
read_11	11836135	11837142
read_12	10727878	10728877
read_13	18331018	18332009
read_14	6895017	6896006
read_15	9922357	9923365
read_16	12967343	12968336
read_17	16403062	16404061
read_18	13766126	13767123
read_19	11139786	11140789
read_20	4724445	4725443
read_21	3045408	3046401
read_22	17540424	17541417
read_23	12654047	12655047
read_24	15824319	15825314
read_25	17639296	17640295
read_26	12670478	12671482
read_27	14933259	14934240
read_28	8846956	8847950
read_29	5774358	5775366
read_30	4302163	4303166
read_31	615778	616779
read_32	2529822	2530817
read_33	5809980	5810983
read_34	10445010	10446017
read_35	15866746	15867747
read_36	4781041	4782042
read_37	3335633	3336621
read_38	15103407	15104416
read_39	10287311	10288310
read_40	11497133	11498128
read_41	17561311	17562304
read_42	7233792	7234791
read_43	16650112	16651113
read_44	12583463	12584458
read_45	13599634	13600635
read_46	13636998	13637989
read_47	1185110	1186112
read_48	17700225	17701226
read_49	8030501	8031494
read_50	15407268	15408262
read_51	10198246	10199243
read_52	19345161	19346152
read_53	19324604	19325586
read_54	6311857	6312852
read_55	7027010	7027996
read_56	19124383	19125379
read_57	2125358	2126364
read_58	4768492	4769490
read_59	7513666	7514669
read_60	14976532	14977521
read_61	14672368	14673366
read_62	243797	244796
read_63	7709075	7710076
read_64	161547	162542
read_65	12106791	12107791
read_66	4930990	4931991
read_67	7121404	7122407
read_68	13692848	13693840
read_69	6601531	6602530
read_70	13789852	13790849
read_71	16454839	16455841
read_72	8427508	8428499
read_73	10463725	10464722
read_74	5819143	5820148
read_75	14995319	14996312
read_76	5290886	5291877
read_77	7122880	7123878
read_78	2712829	2713838
read_79	5054119	5055119
read_80	9628437	9629430
read_81	4558205	4559207
read_82	14317711	14318711
read_83	8002116	8003110
read_84	8379981	8380976
read_85	19517179	19518186
read_86	17285109	17286109
read_87	15242848	15243853
read_88	11849112	11850108
read_89	14906455	14907457
read_90	6251896	6252893
read_91	497781	498785
read_92	9495949	9496949
read_93	17943036	17944034
read_94	9871823	9872823
read_95	1867391	1868382
read_96	361834	362834
read_97	18332756	18333755
read_98	9424166	9425172
read_99	7935886	7936885
